"ID","DOMAIN_HCODE","DOMAIN_CNAME","TABLE_HCODE","TABLE_ENAME","HISQA","HISMAN","HISVALID","CREATE_BY","HCREATETIME","UPDATE_BY","HUPDATETIME"
21,"20501",基金产品持仓,"10038",FUND_PORTFOLIO_DETAIL,,,1,,"2024-10-17 15:31:25",,"2024-10-17 15:31:25"
22,"20501",基金产品持仓,"10040",FUND_TOP10_STOCK_CHANGE_HY,,,1,,"2024-10-17 15:31:25",,"2024-10-17 15:31:25"
23,"20501",基金产品持仓,"10041",FUND_TOP10_STOCK_CHANGE_Q,,,1,,"2024-10-17 15:31:25",,"2024-10-17 15:31:25"
24,"20501",基金产品持仓,"10042",FUND_TRACK_HOLDING,,,1,,"2024-10-17 15:31:25",,"2024-10-17 15:31:25"
25,"20501",基金产品持仓,"10048",STOCK_HOLD_STATISTICS_HY,,,1,,"2024-10-17 15:31:25",,"2024-10-17 15:31:25"
26,"20501",基金产品持仓,"10049",STOCK_HOLD_STATISTICS_Q,,,1,,"2024-10-17 15:31:25",,"2024-10-17 15:31:25"
27,"20509",基金产品基本信息,"10006",FUND_AND_COMPANY_MAPPING,,,1,,"2024-10-17 15:31:25",,"2024-10-17 15:31:25"
28,"20509",基金产品基本信息,"10007",FUND_AND_MANAGER_MAPPING,,,1,,"2024-10-17 15:31:25",,"2024-10-17 15:31:25"
29,"20509",基金产品基本信息,"10012",FUND_FRONT_CONTROL,,,1,,"2024-10-17 15:31:26",,"2024-10-17 15:31:26"
30,"20509",基金产品基本信息,"10023",FUND_LIST_FREQUENCY,,,1,,"2024-10-17 15:31:26",,"2024-10-17 15:31:26"
31,"20509",基金产品基本信息,"10008",FUND_ASSET_ALLOCATION,,,1,,"2024-10-17 15:31:26",,"2024-10-17 15:31:26"
32,"20502",基金产品净值,"10037",FUND_NETVALUE,,,1,,"2024-10-17 15:31:26",,"2024-10-17 15:31:26"
33,"20510",基金份额变动,"10052",FUND_SHARES_CHANGE,,,1,,"2024-10-17 15:31:26",,"2024-10-17 15:31:26"
34,"20506",基金公司持仓,"10009",FUND_COMPANY_ASSET_ALLOCATION,,,1,,"2024-10-17 15:31:26",,"2024-10-17 15:31:26"
35,"20506",基金公司持仓,"10010",FUND_COMPANY_INDUSTRY_HOLDING_MV_DETAIL_HY,,,1,,"2024-10-17 15:31:26",,"2024-10-17 15:31:26"
36,"20506",基金公司持仓,"10011",FUND_COMPANY_INDUSTRY_HOLDING_MV_DETAIL_Q,,,1,,"2024-10-17 15:31:26",,"2024-10-17 15:31:26"
37,"20509",基金基本信息,"10043",FUND_TURNOVER_RATE,,,1,,"2024-10-17 15:31:26",,"2024-10-17 15:31:26"
38,"20504",基金经理持仓,"10004",FUND_MANAGER_INDUSTRY_HOLDING_MV_Q,,,1,,"2024-10-17 15:31:26",,"2024-10-17 15:31:26"
39,"20504",基金经理持仓,"10005",FUND_MANAGER_INDUSTRY_HOLDING_MV_HY,,,1,,"2024-10-17 15:31:26",,"2024-10-17 15:31:26"
40,"20504",基金经理持仓,"10024",FUND_MANAGER_ASSET_ALLOCATION,,,1,,"2024-10-17 15:31:27",,"2024-10-17 15:31:27"
41,"20504",基金经理持仓,"10025",FUND_MANAGER_INDUSTRY_CHANGE_HY,,,1,,"2024-10-17 15:31:27",,"2024-10-17 15:31:27"
